terminal_carrier_id,terminal_edge_id,terminal_node,backbone_node,country,year,carrier_class,carrier_evidence_asset_ids,carrier_evidence_project_codes,carrier_evidence_capacity_gwh_per_day,mapping_rule,source_id,traceable,eligible
TC_E0019_NH3_cracked_to_H2,E0019,LH2_Tk_BE,BEh2,Belgium,2030,NH3_cracked_to_H2,H2L_005;H2L_014;H2L_020,H2L-N-1100;H2L-N-664;H2L-N-822,166.6,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0020_NH3_cracked_to_H2,E0020,LH2_Tk_BE,BEh2,Belgium,2040,NH3_cracked_to_H2,H2L_005;H2L_014;H2L_020;H2L_025,H2L-N-1100;H2L-N-1325;H2L-N-664;H2L-N-822,214.6,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0121_NH3_cracked_to_H2,E0121,LH2_Tk_FRn,FRh2N,France,2030,NH3_cracked_to_H2,H2L_006;H2L_007,H2L-N-741;H2L-N-776,24.0,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0122_NH3_cracked_to_H2,E0122,LH2_Tk_FRn,FRh2N,France,2040,NH3_cracked_to_H2,H2L_006;H2L_007;H2L_009;H2L_013,H2L-N-741;H2L-N-776;H2L-N-820,90.0,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0123_NH3_cracked_to_H2,E0123,LH2_Tk_FRSW,FRh2SW,France,2030,NH3_cracked_to_H2,H2L_006;H2L_007,H2L-N-741;H2L-N-776,24.0,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0124_NH3_cracked_to_H2,E0124,LH2_Tk_FRSW,FRh2SW,France,2040,NH3_cracked_to_H2,H2L_006;H2L_007;H2L_009;H2L_013,H2L-N-741;H2L-N-776;H2L-N-820,90.0,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0125_NH3_cracked_to_H2,E0125,LH2_Tk_FRW,FRh2,France,2030,NH3_cracked_to_H2,H2L_006;H2L_007,H2L-N-741;H2L-N-776,24.0,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0126_NH3_cracked_to_H2,E0126,LH2_Tk_FRW,FRh2,France,2040,NH3_cracked_to_H2,H2L_006;H2L_007;H2L_009;H2L_013,H2L-N-741;H2L-N-776;H2L-N-820,90.0,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0153_LOHC_to_H2,E0153,LH2_Tk_DE,DEh2,Germany,2030,LOHC_to_H2,H2L_015,H2L-N-863,0.16,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0153_NH3_cracked_to_H2,E0153,LH2_Tk_DE,DEh2,Germany,2030,NH3_cracked_to_H2,H2L_017;H2L_018;H2L_019;H2L_022,H2L-N-1056;H2L-N-1099;H2L-N-1159;H2L-N-968,77.3,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0154_LOHC_to_H2,E0154,LH2_Tk_DE,DEh2,Germany,2040,LOHC_to_H2,H2L_015,H2L-N-863,0.16,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0154_NH3_cracked_to_H2,E0154,LH2_Tk_DE,DEh2,Germany,2040,NH3_cracked_to_H2,H2L_017;H2L_018;H2L_019;H2L_022,H2L-N-1056;H2L-N-1099;H2L-N-1159;H2L-N-968,77.3,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0155_LOHC_to_H2,E0155,LH2_Tk_DEbp,DEh2bp,Germany,2030,LOHC_to_H2,H2L_015,H2L-N-863,0.16,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0155_NH3_cracked_to_H2,E0155,LH2_Tk_DEbp,DEh2bp,Germany,2030,NH3_cracked_to_H2,H2L_017;H2L_018;H2L_019;H2L_022,H2L-N-1056;H2L-N-1099;H2L-N-1159;H2L-N-968,77.3,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0156_LOHC_to_H2,E0156,LH2_Tk_DEbp,DEh2bp,Germany,2040,LOHC_to_H2,H2L_015,H2L-N-863,0.16,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0156_NH3_cracked_to_H2,E0156,LH2_Tk_DEbp,DEh2bp,Germany,2040,NH3_cracked_to_H2,H2L_017;H2L_018;H2L_019;H2L_022,H2L-N-1056;H2L-N-1099;H2L-N-1159;H2L-N-968,77.3,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0199_NH3_cracked_to_H2,E0199,LH2_Tk_ITa,IB-ITh2,Italy,2030,NH3_cracked_to_H2,H2L_024,H2L-N-1314,27.5,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0200_NH3_cracked_to_H2,E0200,LH2_Tk_ITa,IB-ITh2,Italy,2040,NH3_cracked_to_H2,H2L_024,H2L-N-1314,27.5,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0227_NH3_cracked_to_H2,E0227,LH2_Tk_NL,NLh2,Netherlands,2030,NH3_cracked_to_H2,H2L_001;H2L_002;H2L_021,H2L-A-665;H2L-A-754;H2L-N-1127,229.60000000000002,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0228_NH3_cracked_to_H2,E0228,LH2_Tk_NL,NLh2,Netherlands,2040,NH3_cracked_to_H2,H2L_001;H2L_002;H2L_021,H2L-A-665;H2L-A-754;H2L-N-1127,229.60000000000002,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0249_NH3_cracked_to_H2,E0249,LH2_Tk_PLN,PLh2N,Poland,2030,NH3_cracked_to_H2,H2L_003,H2L-A-1041,17.7,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
TC_E0250_NH3_cracked_to_H2,E0250,LH2_Tk_PLN,PLh2N,Poland,2040,NH3_cracked_to_H2,H2L_003,H2L-A-1041,17.7,"Carrier availability and a shared carrier-capacity pool are established at an explicitly modelled TYNDP country terminal group. Annex A project records provide country, carrier, capacity, and commissioning evidence. No individual named-project-to-C2-node crosswalk is claimed or inferred.",TYNDP2024_ANNEX_A;TYNDP2024_ANNEX_C2,True,True
